id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage
49653,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual
8574,Women,Footwear,Sandal,Sandals,Pink,Fall,2011,Casual
16957,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual
19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,2011,Casual
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual
17885,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016,Casual
43369,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2013,Casual
48781,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012,Casual
44970,Men,Accessories,Watches,Watches,White,Winter,2016,Casual
56489,Women,Personal Care,Nails,Nail Polish,Bronze,Spring,2017,NA
39524,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,2012,Casual
33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports
58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012,Casual
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,2012,Casual
52029,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Summer,2012,NA
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual
39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012,Casual
25349,Men,Apparel,Innerwear,Briefs,Red,Summer,2016,Casual
11940,Men,Footwear,Sandal,Sandals,Black,Summer,2011,Casual
55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2017,Casual
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual
43967,Women,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,2017,Casual
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012,Sports
34009,Girls,Apparel,Topwear,Tops,Black,Summer,2012,Casual
19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports
22950,Unisex,Accessories,Watches,Watches,Black,Winter,2016,Casual
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012,Casual
8746,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2015,Casual
9694,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011,Sports
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012,Sports
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011,Casual
41268,Men,Accessories,Wallets,Wallets,Black,Summer,2012,Casual
11518,Women,Footwear,Shoes,Heels,Grey,Winter,2015,Casual
14856,Women,Accessories,Wallets,Wallets,Beige,Summer,2011,Casual
33648,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Casual
59297,Men,Apparel,Topwear,Shirts,White,Fall,2012,Casual
28032,Men,Apparel,Innerwear,Briefs,White,Summer,2016,Casual
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,2012,Formal
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual
49839,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,2012,Casual
31923,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual
2618,Women,Footwear,Shoes,Flats,Silver,Spring,2010,Casual
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic
49005,Women,Accessories,Jewellery,Ring,Silver,Summer,2012,Casual
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual
13841,Unisex,Accessories,Watches,Watches,White,Winter,2016,Casual
28200,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,2016,Casual
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports
7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual
18495,Men,Footwear,Sandal,Sandals,White,Fall,2011,Casual
8110,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports
36934,Women,Personal Care,Fragrance,Perfume and Body Mist,Gold,Spring,2017,Casual
39140,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,2012,Ethnic
20851,Women,Accessories,Bags,Clutches,Red,Winter,2015,Casual
41866,Men,Footwear,Sandal,Sandals,Beige,Fall,2015,Casual
58177,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual
44528,Men,Footwear,Sandal,Sandals,Black,Summer,2012,Casual
16392,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual
51455,Women,Apparel,Topwear,Shrug,Pink,Summer,2012,Casual
50587,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016,Casual
17240,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual
47530,Women,Footwear,Shoes,Flats,Copper,Winter,2012,Casual
6617,Men,Apparel,Topwear,Shirts,Black,Summer,2011,Casual
12732,Unisex,Accessories,Bags,Backpacks,Black,Fall,2011,Sports
3365,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual
42042,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports
23849,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual
43190,Women,Accessories,Watches,Watches,White,Winter,2016,Casual
48578,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012,Casual
30462,Women,Apparel,Innerwear,Bra,Black,Summer,2014,Casual
18208,Men,Accessories,Headwear,Caps,White,Fall,2011,Casual
54127,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual
24250,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012,Casual
32335,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual
25382,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016,Casual
56670,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual
5092,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011,Casual
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual
59638,Women,Apparel,Saree,Sarees,Green,Fall,2012,Ethnic
15517,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2011,Casual
4140,Women,Footwear,Shoes,Casual Shoes,Green,Winter,2015,Casual
36795,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual
40527,Men,Accessories,Watches,Watches,Gold,Winter,2016,Casual
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011,Formal
24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012,Casual
45869,Men,Accessories,Watches,Watches,Brown,Winter,2016,Casual
11385,Women,Apparel,Topwear,Sweatshirts,Black,Fall,2011,Casual
53130,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual
44187,Women,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,2017,Casual
21510,Women,Accessories,Bags,Handbags,White,Winter,2015,Casual
51667,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016,Casual
22395,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual
35322,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016,Ethnic
6425,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual
18806,Men,Accessories,Belts,Belts,Tan,Summer,2011,Casual
23247,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011,Formal
17072,Women,Accessories,Belts,Belts,Grey,Winter,2015,Casual
31782,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual
42270,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual
12500,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual
26735,Men,Personal Care,Fragrance,Deodorant,Black,Spring,2017,Casual
30650,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual
56026,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual
21948,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual
32563,Women,Apparel,Bottomwear,Trousers,Blue,Summer,2012,Casual
58980,Women,Personal Care,Fragrance,Deodorant,Pink,Spring,2017,Casual
40143,Girls,Apparel,Topwear,Tops,Blue,Summer,2012,Casual
10633,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011,Formal
24406,Women,Apparel,Topwear,Kurtas,Red,Summer,2012,Ethnic
4716,Unisex,Accessories,Watches,Watches,Black,Winter,2016,Sports
21174,Women,Apparel,Topwear,Tops,Beige,Fall,2011,Casual
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,2011,Sports
52486,Women,Apparel,Innerwear,Camisoles,Maroon,Winter,2015,Casual
53554,Men,Apparel,Innerwear,Boxers,Multi,Summer,2016,Casual
14293,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual
47366,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual
6041,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011,Casual
23623,Girls,Apparel,Topwear,Tops,Pink,Fall,2011,Casual
17416,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports
9835,Women,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual
29319,Unisex,Accessories,Bags,Backpacks,Red,Summer,2012,Casual
7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual
12958,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports
27283,Women,Apparel,Topwear,Kurtas,Magenta,Fall,2011,Ethnic
30234,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012,Casual
9009,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual
3533,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011,Casual
42614,Women,Accessories,Jewellery,Jewellery Set,Gold,Winter,2016,Casual
12164,Women,Apparel,Topwear,Dupatta,Orange,Fall,2011,Ethnic
26351,Women,Accessories,Watches,Watches,White,Winter,2016,Casual
17624,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2011,Sports
47154,Girls,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual
35574,Men,Footwear,Flip Flops,Flip Flops,Red,Summer,2013,Casual
46086,Women,Footwear,Shoes,Sports Shoes,Lavender,Summer,2012,Sports
51031,Women,Apparel,Innerwear,Bra,White,Summer,2017,Casual
13284,Men,Apparel,Bottomwear,Shorts,Black,Fall,2011,Casual
54543,Men,Footwear,Shoes,Sports Shoes,White,Fall,2012,Casual
55491,Women,Personal Care,Lips,Lip Gloss,Brown,Spring,2017,Casual
26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012,Formal
3701,Women,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual
29917,Men,Accessories,Watches,Watches,White,Winter,2016,Casual
42426,Women,Apparel,Topwear,Kurtas,Sea Green,Summer,2012,Ethnic
32751,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual
56214,Women,Accessories,Jewellery,Earrings,Gold,Winter,2016,Casual
10401,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual
40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012,Casual
21346,Men,Accessories,Eyewear,Sunglasses,Gold,Winter,2016,Casual
45603,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal
4524,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011,Sports
37223,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual
53766,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Casual
25520,Girls,Apparel,Topwear,Tops,White,Fall,2011,Casual
32597,Women,Apparel,Topwear,Tops,Black,Summer,2012,Casual
58974,Men,Personal Care,Fragrance,Deodorant,Gold,Spring,2017,Casual
33445,Women,Accessories,Wallets,Wallets,Black,Summer,2012,Casual
57100,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual
36137,Women,Footwear,Shoes,Sports Shoes,Pink,Summer,2012,Sports
41859,Men,Footwear,Sandal,Sandals,Black,Summer,2016,Casual
21180,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2011,Casual
39943,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2013,Casual
52472,Women,Apparel,Loungewear and Nightwear,Bath Robe,Pink,Winter,2015,Casual
58148,Unisex,Accessories,Headwear,Caps,White,Fall,2012,Casual
20052,Women,Accessories,Mufflers,Mufflers,Yellow,Fall,2011,Casual
5630,Women,Footwear,Flip Flops,Flip Flops,Blue,Summer,2011,Casual
44517,Men,Footwear,Flip Flops,Flip Flops,Brown,Summer,2013,Casual
47392,Women,Accessories,Bags,Handbags,Beige,Fall,2012,Casual
50325,Women,Apparel,Topwear,Kurtas,Navy Blue,Summer,2012,Ethnic
8913,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports
16530,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual
22705,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual
7167,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Casual
46240,Women,Apparel,Topwear,Tunics,White,Summer,2012,Casual
27277,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic
13042,Women,Footwear,Shoes,Flats,Brown,Winter,2012,Casual
6889,Women,Apparel,Topwear,Jackets,Cream,Summer,2011,Casual
31312,Women,Apparel,Topwear,Kurtas,Peach,Summer,2012,Ethnic
12190,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual
55657,Women,Footwear,Shoes,Heels,Gold,Winter,2015,Casual
19578,Women,Apparel,Topwear,Tops,Purple,Summer,2011,Casual
27879,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual
34452,Women,Footwear,Shoes,Flats,Copper,Winter,2012,Casual
6287,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011,Casual
7355,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual
46072,Men,Accessories,Belts,Belts,Black,Summer,2012,Casual
22537,Men,Footwear,Sandal,Sandals,Tan,Summer,2013,Casual
28831,Women,Apparel,Innerwear,Briefs,Brown,Summer,2017,Casual
43500,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Casual
2627,Women,Footwear,Shoes,Flats,Silver,Fall,2010,Casual
27045,Women,Accessories,Bags,Clutches,Off White,Summer,2012,Casual
13270,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual
18698,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016,Casual
55465,Women,Personal Care,Lips,Lipstick,Red,Spring,2017,Casual
26197,Men,Personal Care,Fragrance,Perfume and Body Mist,Green,Spring,2017,Casual
31120,Girls,Apparel,Topwear,Tops,Pink,Summer,2012,Casual
25712,Unisex,Accessories,Headwear,Caps,Blue,Summer,2012,Sports
11527,Men,Apparel,Topwear,Tshirts,Olive,Fall,2011,Casual
14869,Men,Accessories,Wallets,Wallets,Black,Summer,2011,Casual
40385,Women,Apparel,Topwear,Tops,Yellow,Summer,2012,Casual
15187,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual
5402,Women,Footwear,Shoes,Sports Shoes,Purple,,2011,Sports
44725,Women,Footwear,Flip Flops,Flip Flops,Orange,Summer,2012,Casual
14055,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual
20260,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual
7731,Men,Footwear,Flip Flops,Flip Flops,Grey,Winter,2011,Casual
22153,Men,Footwear,Sandal,Sandals,Brown,Summer,2011,Casual
43958,Men,Footwear,Sandal,Sandals,Olive,Fall,2012,Casual
28469,Women,Apparel,Topwear,Tshirts,Pink,Summer,2012,Casual
50573,Men,Apparel,Innerwear,Trunk,Charcoal,Summer,2016,Casual
34036,Boys,Apparel,Topwear,Shirts,Blue,Summer,2012,Casual
55001,Women,Personal Care,Lips,Lipstick,Pink,Spring,2017,NA
8779,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual
3391,Women,Accessories,Bags,Handbags,White,Winter,2015,Casual
43164,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual
2243,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports
30496,Women,Apparel,Innerwear,Bra,Purple,Summer,2014,Casual
27421,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Blue,Winter,2015,Casual
57756,Women,Personal Care,Skin Care,Face Wash and Cleanser,Green,Spring,2017,Casual
33213,Women,Apparel,Topwear,Tops,Magenta,Summer,2012,Casual
39729,Women,Apparel,Topwear,Tops,Olive,Summer,2012,Casual
25376,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016,Casual
11143,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual
56684,Women,Apparel,Saree,Sarees,Beige,Fall,2012,Ethnic
4988,Women,Apparel,Dress,Dresses,White,Summer,2011,Casual
44341,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012,Casual
14431,Women,Footwear,Shoes,Heels,Black,Summer,2012,Casual
20604,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual
52224,Women,Accessories,Jewellery,Necklace and Chains,Silver,Summer,2012,Casual
45293,Women,Accessories,Watches,Watches,Red,Winter,2016,Casual
36761,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual
33021,Women,Apparel,Topwear,Kurtas,Cream,Summer,2012,Ethnic
25144,Women,Accessories,Bags,Handbags,Orange,Winter,2015,Casual
11371,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual
41401,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual
14603,Men,Accessories,Socks,Socks,Grey,Summer,2011,Casual
37481,Women,Accessories,Watches,Watches,White,Winter,2016,Casual
5254,Unisex,Accessories,Bags,Duffel Bag,Red,Winter,2015,Casual
44173,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017,Casual
25978,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017,Casual
4386,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual
51693,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,2016,Casual
16154,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011,Formal
22361,Men,Footwear,Sandal,Sports Sandals,Navy Blue,Summer,2012,Casual
29789,Men,Apparel,Topwear,Tshirts,Pink,Summer,2013,Casual
19920,Unisex,Accessories,Bags,Backpacks,Black,Winter,2015,Casual
7503,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Sports
46624,Men,Personal Care,Fragrance,Deodorant,Grey,Spring,2017,Casual
34204,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2013,Casual
17086,Women,Accessories,Wallets,Wallets,Orange,Winter,2015,Casual
50741,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2018,Casual
55233,Women,Personal Care,Makeup,Foundation and Primer,Skin,Summer,2019,Casual
13426,Men,Apparel,Topwear,Tshirts,Red,Summer,2011,Casual
43356,Women,Footwear,Shoes,Sports Shoes,Charcoal,Summer,2012,Sports
28207,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual
13846,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual
12994,Boys,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports
46278,Women,Apparel,Topwear,Tunics,Red,Summer,2012,Casual
16508,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011,Casual
18492,Men,Footwear,Flip Flops,Flip Flops,Blue,Fall,2011,Casual
19540,Men,Apparel,Topwear,Sweaters,Blue,Summer,2011,Casual
7963,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Sports
8117,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual
49230,Men,Accessories,Socks,Socks,Black,Summer,2016,Casual
39147,Women,Apparel,Apparel Set,Kurta Sets,Purple,Fall,2012,Ethnic
36933,Women,Personal Care,Fragrance,Perfume and Body Mist,Purple,Spring,2017,Casual
57138,Women,Apparel,Bottomwear,Trousers,Brown,Summer,2012,Casual
20856,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual
41861,Men,Footwear,Sandal,Sandals,Black,Summer,2016,Casual
5608,Men,Footwear,Sandal,Sandals,Black,Summer,2011,Casual
58170,Women,Accessories,Bags,Clutches,Red,Fall,2012,Casual
53598,Men,Free Items,Free Gifts,Free Gifts,Black,Winter,2016,Sports
15983,Men,Apparel,Topwear,Shirts,Burgundy,Fall,2011,Casual
39375,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual
14851,Women,Accessories,Wallets,Wallets,Coffee Brown,Summer,2011,Casual
59290,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual
52678,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual
20258,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011,Casual
47198,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Casual
27841,Men,Accessories,Belts,Belts,White,Summer,2012,Casual
28035,Men,Apparel,Innerwear,Briefs,Grey Melange,Summer,2016,Casual
31924,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual
26993,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual
13248,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011,Casual
43538,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual
8325,Boys,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual
31118,Girls,Apparel,Topwear,Tops,Red,Summer,2012,Casual
19772,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,2011,Casual
46876,Men,Accessories,Socks,Socks,Grey,Summer,2012,Casual
5862,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual
39711,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual
14409,Women,Footwear,Shoes,Heels,White,Summer,2012,Casual
58726,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual
44379,Men,Personal Care,Fragrance,Perfume and Body Mist,Black,Spring,2017,Casual
11947,Men,Footwear,Sandal,Sandals,Olive,Summer,2012,Casual
36759,Men,Accessories,Watches,Watches,White,Winter,2016,Casual
